train,test
6.844184191226189151e-01,6.455006315558058372e-01
6.741785127615349538e-01,6.368250490904170391e-01
6.646677975266253036e-01,6.292810842668978832e-01
6.562583368400924932e-01,6.226767407203007698e-01
6.486369129081418494e-01,6.164288598160961863e-01
6.411506961579742647e-01,6.102630146118847021e-01
6.333759825812891320e-01,6.041048568165540145e-01
6.254091868082536365e-01,5.983273865099681954e-01
6.177327045970063546e-01,5.932961975464366988e-01
6.108357416734553347e-01,5.889879881022512809e-01
6.048394910713256190e-01,5.851009541062742736e-01
5.994012655067730844e-01,5.811205165461637012e-01
5.941300060930256866e-01,5.767380184998593950e-01
5.888024319248287286e-01,5.719887339628890732e-01
5.835090264041502550e-01,5.673052942970695511e-01
5.785543895509519530e-01,5.631021219077375628e-01
5.741044790897773531e-01,5.593851850609904419e-01
5.701367511642597696e-01,5.559299037273160993e-01
5.663699224146324651e-01,5.524257572800992389e-01
5.624646810100463190e-01,5.488935230110800756e-01
5.583069716738049415e-01,5.455392007726647119e-01
5.540891885823978624e-01,5.425713991337833830e-01
5.501729011819664894e-01,5.400636670284655327e-01
5.467893344825008883e-01,5.378456209230551011e-01
5.438301570092582971e-01,5.358392896214786427e-01
5.410081917691150766e-01,5.334937152579961595e-01
5.380464845329002710e-01,5.307534472386711277e-01
5.348340122397163832e-01,5.276386185558097353e-01
5.314469448113638972e-01,5.245443791288411095e-01
5.281272257257590974e-01,5.216401779183319487e-01
5.249985561902545950e-01,5.190259610342833341e-01
5.220177065669645566e-01,5.166399427674829292e-01
5.190357504991219839e-01,5.142685990644066951e-01
5.160313109332055337e-01,5.120195857522343852e-01
5.130689263482565154e-01,5.100477453499011604e-01
5.103042039095840865e-01,5.082604956120998496e-01
5.078534735934988609e-01,5.065673772615214565e-01
5.056340956065837888e-01,5.046893126472652424e-01
5.033695636308663790e-01,5.024454936707652974e-01
5.009125277703739831e-01,4.997843145752780547e-01
4.982165483059635691e-01,4.967390676649874326e-01
4.953807020199120226e-01,4.935856258740972669e-01
4.925681038400918643e-01,4.904764497175100879e-01
4.898640615321624425e-01,4.874713808954102001e-01
4.872434503039342335e-01,4.845327325747634251e-01
4.846406238914567344e-01,4.816230101851544099e-01
4.819938410091830217e-01,4.787712171332257904e-01
4.793650472569140342e-01,4.760691323172462908e-01
4.768673654885156599e-01,4.735579503326465822e-01
4.745445958553404231e-01,4.711412573863205111e-01
4.723629071033901283e-01,4.687101944805163178e-01
4.702276030400157070e-01,4.661747075697272868e-01
4.680517315536756318e-01,4.635836016827831751e-01
4.658145792450124612e-01,4.610667677378235685e-01
4.635745824795068359e-01,4.586707021608413259e-01
4.614121053108205528e-01,4.564357432019061078e-01
4.593420063809892651e-01,4.543292384256169547e-01
4.573461920349657928e-01,4.523381135587806745e-01
4.553599724584259101e-01,4.504071345323412134e-01
4.533564555314649747e-01,4.485389404185478601e-01
4.513689727756077796e-01,4.467504764874365986e-01
4.494527811795822614e-01,4.450549088114157947e-01
